AAAA;NOM_USUEL;TMM;TXAB;TXMIN;NBJTX25;RR;RRAB;TMM_ma5;ville
1945;BREST-GUIPAVAS;;28.7;1.0;6.0;1009.4;31.6;;brest
1946;BREST-GUIPAVAS;;26.4;-1.0;3.0;1192.6;54.6;;brest
1947;BREST-GUIPAVAS;;29.8;-2.2;15.0;1094.0;47.1;;brest
1948;BREST-GUIPAVAS;;32.2;-2.4;5.0;1130.6;41.0;;brest
1949;BREST-GUIPAVAS;11.8;35.2;5.0;23.0;939.4;47.8;;brest
1950;BREST-GUIPAVAS;10.8;28.8;1.8;2.0;1363.3;42.7;;brest
1951;BREST-GUIPAVAS;10.6;27.6;4.8;3.0;1471.0;39.3;;brest
1952;BREST-GUIPAVAS;10.6;28.4;2.0;7.0;1199.0;38.4;;brest
1953;BREST-GUIPAVAS;10.7;29.0;0.8;2.0;712.1;29.7;10.9;brest
1954;BREST-GUIPAVAS;10.5;26.3;-0.5;1.0;1113.7;31.4;10.6;brest
1955;BREST-GUIPAVAS;10.8;33.7;0.7;14.0;1061.0;38.5;10.6;brest
1956;BREST-GUIPAVAS;9.9;25.7;-2.6;1.0;1099.7;38.4;10.5;brest
1957;BREST-GUIPAVAS;11.1;30.7;4.1;10.0;1122.8;38.5;10.6;brest
1958;BREST-GUIPAVAS;10.7;24.8;1.3;0.0;1268.0;28.8;10.6;brest
1959;BREST-GUIPAVAS;11.6;31.2;2.7;19.0;1380.2;56.7;10.8;brest
1960;BREST-GUIPAVAS;10.9;27.5;2.5;4.0;1593.6;47.8;10.8;brest
1961;BREST-GUIPAVAS;11.2;32.6;1.7;9.0;1209.6;33.3;11.1;brest
1962;BREST-GUIPAVAS;7.6;26.9;0.1;2.0;1174.1;56.4;10.4;brest
1963;BREST-GUIPAVAS;6.0;27.0;-2.4;2.0;1101.0;37.4;9.5;brest
1964;BREST-GUIPAVAS;5.6;27.1;1.9;5.0;860.4;35.7;8.3;brest
1965;BREST-GUIPAVAS;11.0;26.7;2.1;1.0;1281.8;54.8;8.3;brest
1966;BREST-GUIPAVAS;10.0;24.2;-3.0;0.0;1297.2;36.6;8.0;brest
1967;BREST-GUIPAVAS;9.7;26.0;0.4;2.0;1140.2;42.9;8.5;brest
1968;BREST-GUIPAVAS;10.0;28.3;3.0;4.0;1031.8;25.1;9.3;brest
1969;BREST-GUIPAVAS;5.4;29.1;1.7;5.0;1029.7;37.3;9.2;brest
1970;BREST-GUIPAVAS;10.9;27.5;1.2;10.0;983.6;31.2;9.2;brest
1971;BREST-GUIPAVAS;9.5;30.2;2.1;13.0;913.9;32.4;9.1;brest
1972;BREST-GUIPAVAS;9.6;25.2;1.9;2.0;1208.7;33.2;9.1;brest
1973;BREST-GUIPAVAS;;30.7;2.2;13.0;782.0;30.3;;brest
1974;BREST-GUIPAVAS;11.2;28.3;3.8;2.0;1269.1;40.9;;brest
1975;BREST-GUIPAVAS;17.0;32.7;1.7;13.0;886.4;29.4;;brest
1976;BREST-GUIPAVAS;8.6;33.3;1.9;23.0;840.0;30.5;;brest
1977;BREST-GUIPAVAS;10.8;26.7;3.2;4.0;1180.9;51.5;;brest
1978;BREST-GUIPAVAS;10.4;27.7;0.3;2.0;1062.7;35.4;11.6;brest
1979;BREST-GUIPAVAS;6.7;28.2;0.1;4.0;1233.3;41.0;10.7;brest
